"Year","Code","onsetdate","offsetdate"
1995,"k183",1995-05-04,1995-06-24
1996,"k183",1996-04-24,1996-07-01
1997,"k183",1997-05-02,1997-09-01
1998,"k183",1998-04-29,1998-09-29
1999,"k183",1999-05-22,1999-12-04
2000,"k183",2000-06-15,2000-12-08
2001,"k183",2001-04-08,2002-07-28
2003,"k183",2003-07-07,2004-03-26
2004,"k183",2004-08-28,2005-05-16
2005,"k183",2005-08-08,2005-09-23
2006,"k183",2006-04-14,2006-09-16
2007,"k183",2007-04-18,2007-07-14
2008,"k183",2008-04-25,2008-07-01
2009,"k183",2009-04-22,2009-06-27
2010,"k183",2010-04-19,2010-06-09
2011,"k183",2011-04-30,2011-06-12
2012,"k183",2012-04-17,2012-07-07
